min_anonym,min_real
36.4191,33.1988
32.0872,34.8774
29.9196,28.4407
37.5695,34.2475
23.1845,24.1505
23.844,25.8893
27.318,29.8557
34.6413,36.6187
36.5047,33.3376
24.5046,26.9578
30.218,28.9722
24.5754,26.1163
26.1625,26.8058
41.8563,39.2648
24.6131,25.5323
30.4137,28.9379
31.555,29.657
37.6532,39.0189
32.3443,35.6607
31.647,30.845
39.3184,36.8495
26.7108,27.3117
36.2948,35.5135
25.1151,26.1888
25.9513,28.6755
24.0082,25.2984
38.8165,35.9745
26.2958,28.2447
30.3757,31.8404
29.833,32.5688
40.8909,39.5081
43.1375,40.4667
33.5273,31.3047
34.6755,31.5519
39.6768,38.0046
24.719,26.4941
25.8609,24.4895
34.928,37.3562
32.7284,31.6522
29.9476,28.658
30.5758,28.4956
35.8737,36.8692
38.7179,37.193
34.3387,38.1541
38.3219,35.5821
35.4645,32.5661
31.0014,32.0594
32.6884,30.239
33.6161,31.5644
38.177,35.7128
26.8883,28.3632
35.543,37.2568
30.3554,32.3618
25.9146,28.2911
27.5576,28.3514
27.9696,30.8715
26.9321,28.0251
38.7793,37.4318
25.1487,27.3355
38.5816,37.2769
36.0675,34.1872
27.4959,28.8823
42.8466,40.1561
31.4597,32.1345
23.319,25.8526
29.1508,30.3023
26.3652,28.689
28.7123,26.9599
33.0038,35.5262
32.3086,35.6214
41.1119,37.9962
32.718,29.8522
35.2366,37.5657
35.8619,37.1626
35.9892,36.7988
40.5161,37.001
27.5453,29.1177
25.4636,26.832
21.2832,22.5458
36.1188,38.2614
36.8461,38.7446
33.7778,34.9305
35.9753,32.7943
32.2666,30.7594
28.4189,30.69
38.0431,37.2606
26.5964,24.6035
24.2647,26.2038
32.0353,34.8968
35.2257,36.2404
30.16,27.5938
38.0917,34.7235
22.7157,21.9052
32.8254,30.1982
22.5183,24.9372
39.8819,36.6225
41.8125,40.1272
40.9827,37.4271
23.9059,25.7053
33.131,31.1382
29.8961,27.6049
25.8859,24.9623
30.9713,29.0265
38.0135,41.2294
26.9273,25.8916
33.3155,31.8504
35.8465,39.0485
39.5842,36.15
29.4538,32.5456
34.55,36.3684
21.8947,23.1935
31.36,34.013
29.8911,27.6769
35.3926,36.4121
35.0016,37.4349
23.8384,25.0403
25.2648,27.733
29.1036,26.7496
28.5515,26.9608
31.8813,35.3844
28.4769,30.9531
34.5594,35.4092
27.103,26.2626
37.7912,36.3727
41.3653,38.1599
32.501,33.5754
22.8305,21.9103
22.2233,23.4671
31.5536,33.7833
