med_anonym,med_real
101.13,106.23
115.91,106.44
86.88,89.39
90.2,92.7
101.53,104.88
92.83,86.2
63.57,67.99
76.23,79.99
65.4,61.59
102.24,94.06
85.83,78.53
69.59,74.67
71.32,73.22
81.81,80.05
101.6,93.56
92.1,89.95
71.98,79.1
62.32,66.73
96.3,91.1
78.48,74.45
97.05,94.04
82.45,79.36
110.47,106.12
87.66,97.29
82.55,87.45
85.76,95.29
86.85,94.4
73.99,76.52
79.88,76.44
103.53,98.22
94.1,89.19
91.06,86.48
81.28,75.47
88.03,83.13
73.9,77.14
85.36,94.22
80.13,77.57
96.49,98.86
73.84,71.83
99.98,92.48
75.54,77.56
67.82,65.72
84.64,87.53
101.14,98.97
84.66,80.94
93.16,87.72
84.37,81.36
72.89,78.21
108.26,102.04
79.8,88.37
86.11,79.21
76.38,83.02
77.57,82.61
100.57,107.22
86.23,92.42
111.17,101.62
95.93,100.97
65.23,71.52
84.98,93.58
97.47,94.73
90.26,98.64
82.5,80.1
104.64,110.15
89.22,93.62
88.29,80.7
110.29,102.31
76.37,73.43
72.03,66.27
76.75,82.53
91.46,99.74
102.96,95.43
88.02,82.57
96.06,106.5
89.03,82.06
84.96,90.28
78.23,73.25
89.19,85.68
79.85,73.19
84.04,87.45
68.34,75.34
88.17,92.33
85.59,81.83
80.48,87.86
87.8,81.44
92.99,85.54
74.63,78.64
90.91,94.7
67.46,73.89
91.01,88.44
89.65,96.4
103.65,107.75
63.76,68.78
94.18,88.93
67.36,73.78
80.5,87.4
71.74,70.33
114.18,104.76
79.33,85.49
107.99,99.43
95.95,105.56
91.71,94.84
80.1,76.95
107.57,104.84
72.68,68.83
86.11,79.22
73.35,78.62
97.41,101.15
101.43,95.51
105.86,96.24
79.52,76.39
95.09,86.52
74.52,76.43
93.14,89.05
107.0,103.18
95.96,88.78
65.56,69.97
93.82,97.12
94.75,99.22
83.22,86.24
84.25,80.54
84.57,93.76
83.6,92.07
68.94,73.1
105.38,98.58
83.34,81.62
105.02,99.45
80.99,78.25
73.66,76.41
93.37,96.66
101.04,92.1
96.35,90.21
74.44,68.3
70.38,74.48
78.64,85.85
82.23,89.28
101.58,106.7
91.17,89.38
55.93,61.19
69.46,66.98
64.92,70.34
93.02,97.2
70.89,64.86
79.99,74.9
80.26,87.43
64.53,71.62
77.14,84.68
68.5,70.98
73.32,80.22
63.77,66.15
88.65,82.92
89.17,93.37
79.34,83.34
69.86,64.99
74.8,69.2
94.54,88.52
96.39,88.83
67.03,72.23
74.76,77.54
