min_anonym,min_real
30.4192,28.9707
44.813,42.2764
42.0629,41.1172
45.7865,43.4407
36.3618,38.5189
43.708,44.6456
43.1759,45.4962
50.5911,47.8629
44.3458,43.3488
32.193,35.2993
45.077,49.7539
34.5934,37.1174
50.8953,46.5648
34.6335,31.7157
29.692,31.6884
33.8231,36.4081
57.4529,53.5442
34.4134,36.1865
31.4602,30.7529
33.447,35.023
50.0552,47.4457
35.3987,39.2012
35.6065,32.5471
39.1203,40.3302
40.2988,42.4198
42.1609,41.1728
39.1664,35.7032
38.9564,42.4362
39.8447,38.3491
30.1875,31.3148
27.603,29.3025
46.5219,43.2762
34.8202,38.0133
39.2397,36.6726
33.1484,31.6906
44.4789,43.2254
38.8835,37.751
45.1133,42.2805
44.4158,40.6366
43.9232,40.0394
43.4439,44.4666
29.8641,32.2159
47.8002,45.3512
48.0724,50.9241
55.2368,53.628
50.3624,48.7535
43.2526,41.7496
32.1065,31.0808
42.2492,39.4852
26.7945,28.9984
38.2083,40.6904
36.4595,38.5407
39.8568,38.8468
36.0457,39.1801
35.9089,34.8969
35.2155,36.455
46.2045,44.513
33.2511,35.4489
27.9285,29.3984
31.8183,32.6007
55.1476,52.6218
38.0462,39.6315
47.5785,49.2022
33.6157,36.302
27.2916,29.8922
30.2876,32.8143
38.0014,36.1574
40.5136,41.9395
32.3273,30.3828
31.4312,34.5398
36.9983,39.069
40.4113,38.0163
44.6659,49.1374
36.2739,35.3892
35.8945,39.7943
43.8029,46.2544
43.0212,44.215
34.2738,37.4577
41.0936,40.0913
45.9439,41.9196
40.0768,42.1417
30.49,31.9937
37.9542,40.2057
43.0726,40.6729
34.8355,37.2572
43.0507,41.1968
55.747,50.7252
41.0339,42.6992
35.1573,33.5791
32.4518,34.8569
40.2496,42.279
51.418,46.8715
43.4021,47.1762
41.435,39.3869
39.1791,35.7148
41.408,43.1333
40.5471,44.0251
34.2336,37.4138
38.9446,41.1677
31.9127,29.144
36.0868,39.6994
44.0029,42.1888
39.7991,42.2945
38.1425,39.0804
44.5705,41.811
43.2896,44.9062
52.4023,49.8595
44.0104,41.3632
40.303,41.7648
41.7126,45.9896
35.6767,34.7726
43.8087,41.0578
41.3514,42.2816
37.3943,36.5893
33.5819,35.0176
44.0376,48.6603
49.592,52.2571
38.5236,35.7031
33.4964,35.979
31.064,32.5618
37.4404,40.8738
43.7175,42.2391
32.7513,30.7235
47.659,44.4995
37.9362,34.5188
36.137,34.614
45.2512,48.5007
49.6488,47.0159
34.7768,37.1944
40.5736,39.2395
44.5039,42.5875
33.8703,31.566
37.0744,38.1032
57.404,55.1431
38.4344,42.7049
34.7265,32.2437
42.0706,38.6323
40.0185,41.3842
41.3901,38.2887
33.8802,31.8124
37.5793,35.1537
33.858,35.7152
40.8301,42.7988
34.5594,36.8437
42.816,46.7424
28.9922,29.8274
36.7567,40.5703
32.2218,33.5295
36.2722,35.0118
30.8309,33.5119
30.6164,29.5811
33.2174,31.4857
38.2486,40.1771
44.6632,41.8587
41.9875,42.8882
36.7377,40.7292
41.4508,43.0882
42.455,46.1969
36.3686,34.1489
31.3734,33.7711
35.7309,39.3946
38.2873,35.3857
45.3427,41.3711
33.5116,35.7267
48.7263,50.4936
38.9135,39.7889
53.6366,48.9832
37.1789,39.3012
41.5049,43.7354
35.4639,37.5677
27.8498,29.5019
47.3823,49.8237
39.217,40.5553
53.1925,48.4891
45.9873,43.8392
32.6757,35.2869
45.7074,44.7673
46.727,43.2257
37.2904,40.2704
36.5349,39.7984
43.9378,45.2035
36.6628,33.5433
61.2916,55.872
43.794,42.2314
51.1553,47.061
33.517,37.1174
33.9107,31.1393
