max_anonym,max_real
138.586,152.125
126.004,115.494
101.296,109.747
158.851,146.677
116.416,113.025
162.19,151.721
127.982,124.982
96.3078,102.021
120.038,111.456
150.507,154.366
145.767,150.275
143.629,135.117
122.782,119.787
124.409,137.773
131.032,141.198
125.825,134.142
113.251,106.74
141.39,133.261
97.6435,104.32
165.475,157.445
125.41,134.995
131.47,135.396
119.727,126.028
136.802,126.434
104.765,109.702
130.051,119.752
102.455,110.882
104.892,108.809
145.617,139.614
158.381,147.331
144.163,139.019
126.935,132.362
113.086,115.748
113.514,115.831
153.797,143.067
119.622,124.736
149.091,135.784
123.188,120.301
112.714,104.268
150.108,140.551
115.868,118.717
132.409,124.445
108.634,113.992
99.5705,107.877
127.638,138.286
116.223,110.164
164.214,155.801
115.192,118.632
134.165,123.768
112.962,117.546
155.366,142.277
128.208,131.361
142.303,157.589
124.764,121.013
153.222,142.532
168.739,154.24
134.138,122.837
112.453,118.247
109.182,116.897
121.048,125.96
162.13,155.446
133.23,139.801
114.359,117.774
133.32,124.366
131.785,122.705
144.957,134.468
133.139,125.013
108.077,112.113
118.967,111.288
137.961,134.334
96.6648,105.876
153.367,160.426
104.495,111.047
100.372,108.745
137.593,125.541
115.425,108.686
142.579,131.652
128.975,117.571
127.623,118.279
103.503,111.654
148.171,155.642
116.985,129.123
145.727,158.744
98.7345,105.373
134.055,147.313
162.385,157.045
137.804,128.19
104.498,102.049
126.954,136.657
120.886,134.02
158.666,144.242
147.428,158.185
123.798,117.344
123.364,112.353
119.19,125.463
125.234,135.829
109.849,121.246
111.822,116.118
139.995,148.615
140.271,132.082
146.814,133.71
120.386,131.713
131.618,128.659
173.884,158.653
121.474,116.132
109.501,104.486
168.906,157.856
154.166,157.312
135.195,139.809
111.7,119.083
145.931,152.17
107.653,115.632
104.049,101.412
153.781,147.583
134.698,130.143
124.628,131.742
127.212,116.388
122.381,129.916
103.057,106.354
154.229,149.447
170.934,157.98
132.949,140.242
131.59,125.324
128.068,134.951
143.65,147.485
105.9,102.616
152.864,143.131
123.174,113.839
122.914,117.621
114.129,106.563
140.157,134.379
160.144,151.508
136.746,151.94
140.709,135.427
157.279,146.442
135.414,127.149
168.609,155.543
144.656,132.712
145.235,156.672
138.188,144.548
143.268,153.064
154.733,147.646
136.034,130.176
109.34,113.541
137.93,141.177
95.6514,104.082
156.439,160.945
133.422,140.149
132.037,124.799
114.951,106.634
110.896,121.198
107.643,115.249
147.281,143.829
96.3668,102.956
137.316,127.499
172.152,156.502
104.758,100.343
126.348,134.556
110.527,104.666
110.324,112.69
96.1881,106.757
154.201,146.44
167.671,157.734
120.862,125.246
117.439,114.018
106.681,109.754
125.662,132.276
126.782,136.619
117.271,127.468
128.126,135.44
124.647,138.037
167.399,153.577
124.497,133.437
117.553,124.526
143.68,154.329
130.821,136.414
116.81,127.941
151.004,155.035
127.222,132.938
148.093,137.123
97.7787,103.689
136.544,124.812
144.508,157.245
109.327,117.304
165.107,154.739
120.089,115.581
151.55,139.677
141.186,148.617
121.649,115.746
101.531,110.24
139.336,133.081
116.132,105.863
164.616,153.991
127.932,133.68
109.994,106.79
151.214,145.678
159.878,149.001
146.379,149.519
120.856,112.634
131.902,146.233
128.152,137.65
138.132,131.055
118.711,131.318
145.161,135.411
139.622,132.343
162.398,153.786
113.712,109.549
122.699,126.755
122.527,132.605
129.913,143.234
130.237,135.101
118.795,113.138
101.289,108.215
124.05,133.819
130.557,138.156
101.511,112.291
117.863,110.982
147.974,138.552
147.351,140.602
120.726,124.846
164.714,156.572
133.873,127.498
129.473,121.571
110.484,122.624
160.737,150.927
135.013,128.706
137.22,143.836
132.28,135.256
145.609,149.803
130.285,138.014
109.573,117.19
134.738,122.489
127.179,134.297
108.7,112.526
115.67,121.375
108.823,116.763
162.757,150.841
108.135,106.015
