avg_anonym,avg_real
83.33,77.42
94.28,87.59
84.87,78.85
75.7,70.33
104.11,96.72
94.74,88.02
96.22,89.4
74.35,69.07
89.54,83.19
102.18,94.93
86.74,80.59
86.41,80.28
84.1,78.14
72.32,67.19
81.15,75.4
91.85,85.33
76.44,71.02
75.36,70.01
100.73,93.58
84.96,78.93
100.48,93.35
79.4,73.77
103.0,95.7
98.62,91.63
86.68,80.53
85.28,79.23
84.69,78.69
94.84,88.11
95.71,88.92
68.24,63.4
75.69,70.33
72.56,67.42
73.0,67.82
84.71,78.71
86.62,80.47
72.93,67.76
84.35,78.37
93.3,86.68
93.48,86.85
101.48,94.28
99.92,92.83
95.14,88.39
69.8,64.85
101.59,94.38
77.36,71.88
76.1,70.7
93.54,86.91
88.7,82.41
91.54,85.04
96.63,89.78
85.14,79.1
76.26,70.85
99.48,92.42
100.19,93.09
103.8,96.44
117.54,109.21
98.41,91.43
87.05,80.88
97.76,90.83
102.55,95.28
97.62,90.7
94.85,88.12
74.91,69.6
94.11,87.44
67.76,62.96
99.05,92.03
96.64,89.78
79.02,73.42
87.04,80.87
71.32,66.26
76.3,70.89
88.98,82.67
79.81,74.15
68.03,63.2
101.14,93.97
97.21,90.31
67.03,62.28
92.49,85.93
70.82,65.8
96.5,89.66
101.61,94.41
88.49,82.21
72.17,67.05
77.58,72.08
79.22,73.6
101.13,93.96
89.89,83.51
103.85,96.48
93.66,87.02
105.27,97.8
66.17,61.48
89.41,83.07
79.23,73.61
78.92,73.33
95.92,89.11
85.48,79.42
126.62,117.64
70.06,65.09
89.21,82.88
98.03,91.08
75.06,69.74
86.37,80.25
77.44,71.94
79.47,73.83
78.68,73.1
71.52,66.45
76.19,70.79
86.97,80.8
97.34,90.43
85.34,79.29
77.52,72.02
80.43,74.72
80.01,74.33
81.41,75.63
81.12,75.37
104.09,96.71
94.46,87.76
130.01,120.78
74.85,69.54
82.53,76.67
82.6,76.75
78.91,73.31
79.81,74.15
75.74,70.37
82.96,77.08
96.4,89.56
72.67,67.52
95.08,88.33
100.72,93.58
94.67,87.96
71.62,66.54
73.16,67.97
90.35,83.94
82.51,76.65
98.28,91.31
74.6,69.31
76.94,71.49
83.52,77.6
67.07,62.31
79.92,74.26
85.12,79.08
94.13,87.46
98.43,91.45
91.03,84.57
101.69,94.48
96.41,89.58
72.08,66.96
86.06,79.96
74.09,68.83
105.84,98.33
98.17,91.21
67.86,63.05
87.86,81.63
104.86,97.43
94.55,87.84
91.2,84.73
95.76,88.97
90.55,84.12
69.48,64.55
76.26,70.85
84.24,78.26
93.02,86.42
71.62,66.54
99.09,92.07
95.95,89.14
93.07,86.47
102.33,95.07
74.41,69.13
67.47,62.69
115.51,107.32
87.94,81.71
95.22,88.47
77.5,72.0
94.4,87.71
106.98,99.39
98.66,91.66
75.24,69.9
83.05,77.16
97.82,90.88
97.46,90.54
92.9,86.31
77.29,71.81
74.65,69.36
88.34,82.07
69.81,64.86
69.08,64.18
77.78,72.26
106.67,99.1
104.48,97.07
80.88,75.14
107.25,99.65
103.39,96.06
82.74,76.87
78.63,73.06
98.79,91.78
97.63,90.71
87.56,81.35
101.45,94.25
115.42,107.24
85.81,79.72
74.22,68.95
91.04,84.58
67.07,62.31
98.32,91.35
82.35,76.51
107.01,99.42
80.29,74.59
97.03,90.15
105.43,97.95
78.72,73.14
93.08,86.48
84.02,78.06
71.41,66.34
94.67,87.96
73.89,68.65
92.37,85.81
87.04,80.86
101.71,94.49
81.43,75.66
87.69,81.47
82.91,77.03
112.76,104.76
87.19,81.01
77.12,71.65
90.73,84.3
98.46,91.48
97.54,90.62
73.09,67.9
73.5,68.29
91.27,84.8
85.55,79.48
137.4,127.65
94.38,87.69
69.91,64.95
82.44,76.6
72.66,67.5
79.1,73.48
97.04,90.16
70.71,65.69
88.67,82.38
80.18,74.49
85.14,79.1
98.13,91.17
86.37,80.25
83.99,78.03
71.86,66.76
69.11,64.21
87.19,81.01
92.23,85.69
82.56,76.7
71.38,66.32
87.39,81.19
86.51,80.38
92.98,86.38
94.24,87.56
95.82,89.03
67.99,63.17
95.51,88.74
81.37,75.6
105.86,98.35
81.93,76.12
92.23,85.69
98.73,91.73
80.14,74.46
91.97,85.45
90.14,83.75
94.15,87.48
92.48,85.93
106.04,98.52
82.9,77.02
96.23,89.4
70.66,65.65
81.77,75.97
100.11,93.01
83.79,77.84
97.07,90.18
81.42,75.65
94.49,87.78
71.6,66.52
100.81,93.66
90.21,83.81
76.55,71.12
70.74,65.72
85.11,79.07
80.7,74.98
87.53,81.32
97.75,90.82
83.97,78.01
83.56,77.64
72.73,67.57
81.39,75.61
104.81,97.37
71.03,65.99
76.23,70.83
89.41,83.07
95.06,88.32
78.4,72.84
83.57,77.64
70.73,65.71
101.91,94.68
95.65,88.86
90.24,83.84
93.11,86.51
80.56,74.85
102.1,94.86
97.61,90.69
77.17,71.69
93.98,87.32
95.17,88.42
69.59,64.66
90.41,84.0
77.46,71.97
76.5,71.07
82.54,76.69
85.08,79.04
101.25,94.06
75.58,70.22
67.75,62.94
87.54,81.33
96.64,89.79
103.82,96.46
87.63,81.41
70.25,65.26
91.27,84.8
90.86,84.41
103.95,96.57
108.05,100.39
90.82,84.38
73.69,68.46
94.69,87.98
95.56,88.78
91.65,85.15
85.32,79.27
85.78,79.7
88.64,82.35
71.38,66.32
87.88,81.64
75.24,69.9
92.82,86.23
81.97,76.15
89.39,83.05
99.59,92.53
80.74,75.01
97.46,90.55
80.88,75.15
78.08,72.54
91.85,85.34
90.3,83.9
78.82,73.23
72.79,67.63
75.8,70.42
103.54,96.2
74.82,69.51
82.73,76.86
120.11,111.59
81.45,75.67
96.44,89.6
79.1,73.49
87.25,81.06
68.81,63.93
90.77,84.33
85.39,79.33
90.91,84.46
82.94,77.06
85.52,79.45
98.75,91.75
94.92,88.19
103.18,95.86
99.0,91.97
92.3,85.75
66.59,61.87
81.48,75.7
86.75,80.59
67.09,62.33
78.3,72.74
73.95,68.71
80.3,74.6
91.63,85.13
72.95,67.78
99.36,92.31
83.59,77.66
79.22,73.6
102.04,94.8
79.42,73.79
96.22,89.39
88.34,82.07
96.36,89.52
82.32,76.48
68.19,63.36
82.81,76.94
79.38,73.75
86.12,80.01
101.41,94.22
100.15,93.05
123.48,114.72
95.97,89.17
79.99,74.32
94.09,87.41
79.66,74.01
78.19,72.64
80.36,74.66
94.85,88.13
146.73,136.32
105.56,98.08
69.73,64.78
83.19,77.29
79.81,74.15
84.7,78.7
93.36,86.74
70.57,65.56
76.36,70.95
97.25,90.35
76.9,71.45
90.43,84.02
74.68,69.39
70.52,65.52
88.17,81.92
100.07,92.97
89.4,83.06
