max_anonym,max_real
99.6,96.52
116.47,112.87
166.52,161.36
102.96,99.77
87.25,84.55
108.64,105.28
75.98,73.63
119.01,115.33
96.67,93.68
129.94,125.92
88.86,86.11
110.91,107.48
125.67,121.78
93.13,90.25
108.9,105.53
99.02,95.96
83.28,80.7
113.25,109.75
82.86,80.29
110.68,107.25
103.75,100.54
118.82,115.15
93.07,90.19
100.48,97.37
101.18,98.05
181.07,175.46
99.54,96.46
93.04,90.16
110.71,107.29
114.97,111.41
116.89,113.27
83.41,80.83
84.18,81.57
105.65,102.38
95.64,92.68
214.28,207.65
111.15,107.71
78.78,76.34
98.84,95.78
88.52,85.78
96.09,93.12
111.55,108.1
80.28,77.8
106.05,102.77
91.52,88.69
96.97,93.97
113.41,109.9
100.96,97.83
93.44,90.55
86.13,83.46
78.19,75.77
103.28,100.08
103.32,100.13
99.59,96.51
84.06,81.46
98.79,95.73
102.5,99.33
109.76,106.36
103.76,100.55
109.59,106.19
79.81,77.34
130.63,126.58
96.5,93.51
125.51,121.62
95.41,92.46
111.45,108.0
116.91,113.29
94.8,91.87
107.67,104.33
107.56,104.23
110.09,106.68
105.14,101.89
126.14,122.23
99.35,96.28
113.62,110.1
81.28,78.76
97.97,94.94
117.1,113.48
97.72,94.7
118.68,115.01
97.65,94.63
112.31,108.84
83.33,80.75
121.34,117.59
107.58,104.25
93.67,90.77
80.38,77.89
98.16,95.12
91.83,88.98
103.63,100.42
114.49,110.94
94.06,91.14
102.75,99.57
87.7,84.99
93.58,90.68
144.74,140.26
83.25,80.68
92.04,89.19
100.88,97.75
107.7,104.36
95.01,92.06
99.1,96.03
87.03,84.34
119.34,115.65
113.34,109.83
104.23,101.0
107.01,103.7
94.42,91.5
120.23,116.51
113.57,110.06
93.47,90.58
152.41,147.69
112.27,108.8
82.74,80.18
101.2,98.07
88.83,86.08
88.68,85.93
101.28,98.15
97.68,94.66
122.5,118.71
91.63,88.79
78.14,75.72
104.93,101.69
113.42,109.91
120.99,117.24
101.43,98.29
80.49,78.0
110.72,107.29
107.68,104.34
124.65,120.79
128.52,124.54
111.83,108.37
80.31,77.82
113.66,110.14
111.17,107.73
104.29,101.06
95.39,92.44
103.83,100.61
108.26,104.91
85.84,83.18
105.62,102.35
88.86,86.11
108.72,105.35
96.24,93.26
103.66,100.45
119.37,115.68
94.76,91.83
108.64,105.28
92.82,89.95
93.26,90.37
110.0,106.6
102.91,99.72
93.16,90.28
82.33,79.78
84.81,82.19
117.82,114.17
87.97,85.25
95.1,92.16
180.92,175.32
95.0,92.06
113.67,110.15
89.44,86.67
